Volunteers,Internships,National_Honor,National_Top3,International_Honor,International_Top3,Certification,Professional_Certification,Scholarship_Type,Scholarship_Name,GPA
38,3,0,2,0,0,0,0,[1],['Beasiswa Baznas'],3.62
33,27,2,2,0,0,0,0,[1],['Beasiswa Baznas'],3.18
49,28,3,2,0,0,0,0,[1],['Beasiswa Baznas'],3.65
54,2,3,2,0,0,0,1,[1],['Beasiswa Baznas'],3.58
37,32,2,1,0,0,0,1,[1],['Beasiswa Baznas'],3.11
33,8,2,1,0,0,0,0,[1],['Beasiswa Baznas'],3.25
52,5,0,0,0,0,0,0,[1],['Beasiswa Baznas'],3.59
32,9,0,1,0,0,0,1,[1],['Beasiswa Baznas'],3.71
41,27,1,0,0,0,0,1,[1],['Beasiswa Baznas'],3.16
27,32,0,0,0,0,0,1,[1],['Beasiswa Baznas'],3.34
47,29,3,0,0,0,0,0,[1],['Beasiswa Baznas'],3.99
21,2,1,1,0,0,0,1,[1],['Beasiswa Baznas'],3.85
41,7,2,0,0,0,0,0,[1],['Beasiswa Baznas'],3.65
20,28,2,0,0,0,0,0,[1],['Beasiswa Baznas'],3.31
45,29,3,1,0,0,0,1,[1],['Beasiswa Baznas'],3.91
54,17,0,0,0,0,0,1,[1],['Beasiswa Baznas'],3.82
53,23,1,2,0,0,0,1,[1],['Beasiswa Baznas'],3.21
35,35,1,0,0,0,0,1,[1],['Beasiswa Baznas'],3.35
46,18,0,1,0,0,0,1,[1],['Beasiswa Baznas'],3.98
29,13,0,1,0,0,0,1,[1],['Beasiswa Baznas'],3.81
35,12,2,0,0,0,0,1,[1],['Beasiswa Baznas'],3.99
41,6,2,1,0,0,0,0,[1],['Beasiswa Baznas'],3.42
50,19,2,2,0,0,0,1,[1],['Beasiswa Baznas'],3.63
47,9,0,2,0,0,0,0,[1],['Beasiswa Baznas'],3.54
44,17,0,2,0,0,0,0,[1],['Beasiswa Baznas'],3.35
27,7,2,2,0,0,0,0,[1],['Beasiswa Baznas'],3.47
41,15,3,2,0,0,0,0,[1],['Beasiswa Baznas'],3.48
25,29,2,0,0,0,0,1,[1],['Beasiswa Baznas'],3.64
22,30,3,1,0,0,0,1,[1],['Beasiswa Baznas'],3.99
27,30,0,1,0,0,0,0,[1],['Beasiswa Baznas'],3.56
44,7,3,0,0,0,0,0,[1],['Beasiswa Baznas'],3.49
22,33,2,1,0,0,0,0,[1],['Beasiswa Baznas'],3.6
45,35,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.72
40,20,1,2,0,0,0,0,[1],['Beasiswa Baznas'],3.51
29,40,2,1,0,0,0,1,[1],['Beasiswa Baznas'],3.31
32,10,1,1,0,0,0,0,[1],['Beasiswa Baznas'],3.17
43,10,1,2,0,0,0,0,[1],['Beasiswa Baznas'],3.16
42,10,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.12
30,4,0,2,0,0,0,0,[1],['Beasiswa Baznas'],3.16
47,14,0,1,0,0,0,1,[1],['Beasiswa Baznas'],3.26
38,35,0,0,0,0,0,0,[1],['Beasiswa Baznas'],3.69
49,20,1,2,0,0,0,0,[1],['Beasiswa Baznas'],3.24
23,30,3,1,0,0,0,1,[1],['Beasiswa Baznas'],3.26
33,37,2,0,0,0,0,0,[1],['Beasiswa Baznas'],3.05
48,23,1,0,0,0,0,0,[1],['Beasiswa Baznas'],3.9
23,8,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.32
25,18,3,2,0,0,0,1,[1],['Beasiswa Baznas'],3.47
55,8,1,1,0,0,0,1,[1],['Beasiswa Baznas'],3.32
55,11,0,1,0,0,0,1,[1],['Beasiswa Baznas'],3.23
40,17,1,0,0,0,0,1,[1],['Beasiswa Baznas'],3.52
22,24,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.28
34,23,1,0,0,0,0,1,[1],['Beasiswa Baznas'],3.0
24,42,0,1,0,0,0,0,[1],['Beasiswa Baznas'],3.4
51,11,1,1,0,0,0,0,[1],['Beasiswa Baznas'],3.7
22,28,3,0,0,0,0,0,[1],['Beasiswa Baznas'],3.91
50,13,0,1,0,0,0,1,[1],['Beasiswa Baznas'],3.94
35,36,1,0,0,0,0,1,[1],['Beasiswa Baznas'],3.65
20,19,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.37
20,32,2,1,0,0,0,1,[1],['Beasiswa Baznas'],3.97
44,11,3,0,0,0,0,0,[1],['Beasiswa Baznas'],3.69
29,13,1,1,0,0,0,0,[1],['Beasiswa Baznas'],3.45
54,10,3,0,0,0,0,0,[1],['Beasiswa Baznas'],3.37
29,39,3,2,0,0,0,0,[1],['Beasiswa Baznas'],3.47
37,6,1,2,0,0,0,0,[1],['Beasiswa Baznas'],3.22
34,30,3,0,0,0,0,0,[1],['Beasiswa Baznas'],3.65
49,23,1,1,0,0,0,0,[1],['Beasiswa Baznas'],3.64
54,10,3,2,0,0,0,0,[1],['Beasiswa Baznas'],3.53
40,38,2,0,0,0,0,0,[1],['Beasiswa Baznas'],3.78
54,22,0,0,0,0,0,1,[1],['Beasiswa Baznas'],3.54
34,33,1,2,0,0,0,1,[1],['Beasiswa Baznas'],3.73
54,42,1,0,0,0,0,0,[1],['Beasiswa Baznas'],3.5
27,4,1,0,0,0,0,1,[1],['Beasiswa Baznas'],3.55
43,15,3,2,0,0,0,0,[1],['Beasiswa Baznas'],3.7
44,31,2,2,0,0,0,0,[1],['Beasiswa Baznas'],3.64
48,30,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.37
50,14,1,2,0,0,0,0,[1],['Beasiswa Baznas'],3.76
35,42,2,0,0,0,0,1,[1],['Beasiswa Baznas'],3.22
43,37,2,2,0,0,0,0,[1],['Beasiswa Baznas'],3.99
55,6,3,2,0,0,0,1,[1],['Beasiswa Baznas'],3.07
43,32,2,2,0,0,0,1,[1],['Beasiswa Baznas'],3.57
55,6,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.83
24,15,2,1,0,0,0,1,[1],['Beasiswa Baznas'],3.89
32,30,2,0,0,0,0,0,[1],['Beasiswa Baznas'],3.24
52,36,0,1,0,0,0,0,[1],['Beasiswa Baznas'],3.13
54,14,0,1,0,0,0,0,[1],['Beasiswa Baznas'],3.02
45,19,0,1,0,0,0,0,[1],['Beasiswa Baznas'],3.71
51,35,2,2,0,0,0,0,[1],['Beasiswa Baznas'],3.22
27,9,0,0,0,0,0,0,[1],['Beasiswa Baznas'],3.86
50,23,1,2,0,0,0,1,[1],['Beasiswa Baznas'],3.64
49,21,0,1,0,0,0,0,[1],['Beasiswa Baznas'],3.7
31,32,2,1,0,0,0,0,[1],['Beasiswa Baznas'],3.05
52,3,0,0,0,0,0,1,[1],['Beasiswa Baznas'],3.35
23,22,2,2,0,0,0,1,[1],['Beasiswa Baznas'],3.12
31,23,0,0,0,0,0,0,[1],['Beasiswa Baznas'],3.65
26,27,2,2,0,0,0,0,[1],['Beasiswa Baznas'],3.46
53,25,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.09
42,41,2,2,0,0,0,1,[1],['Beasiswa Baznas'],3.03
44,35,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.12
53,3,0,0,0,0,0,0,[1],['Beasiswa Baznas'],3.15
52,35,3,2,0,0,0,0,[1],['Beasiswa Baznas'],3.0
47,36,2,2,0,0,0,1,[1],['Beasiswa Baznas'],3.63
38,5,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.84
53,25,2,1,0,0,0,0,[1],['Beasiswa Baznas'],3.71
27,16,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.79
48,14,3,1,0,0,0,1,[1],['Beasiswa Baznas'],3.8
47,26,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.77
46,31,2,2,0,0,0,0,[1],['Beasiswa Baznas'],3.55
27,18,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.92
31,5,1,2,0,0,0,1,[1],['Beasiswa Baznas'],3.75
40,21,3,1,0,0,0,1,[1],['Beasiswa Baznas'],3.16
48,30,0,1,0,0,0,1,[1],['Beasiswa Baznas'],3.04
25,22,1,2,0,0,0,0,[1],['Beasiswa Baznas'],3.19
22,14,3,0,0,0,0,0,[1],['Beasiswa Baznas'],3.05
41,15,1,2,0,0,0,0,[1],['Beasiswa Baznas'],3.54
53,16,3,1,0,0,0,1,[1],['Beasiswa Baznas'],3.43
27,13,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.94
34,11,0,1,0,0,0,0,[1],['Beasiswa Baznas'],3.69
32,30,3,1,0,0,0,1,[1],['Beasiswa Baznas'],3.19
39,40,0,1,0,0,0,1,[1],['Beasiswa Baznas'],3.52
22,10,3,0,0,0,0,1,[1],['Beasiswa Baznas'],3.17
23,20,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.06
44,41,2,0,0,0,0,0,[1],['Beasiswa Baznas'],3.28
27,15,0,1,0,0,0,1,[1],['Beasiswa Baznas'],3.55
44,40,1,1,0,0,0,1,[1],['Beasiswa Baznas'],3.47
28,17,0,2,0,0,0,0,[1],['Beasiswa Baznas'],3.43
26,39,2,0,0,0,0,1,[1],['Beasiswa Baznas'],3.76
48,12,3,0,0,0,0,1,[1],['Beasiswa Baznas'],4.0
27,20,2,0,0,0,0,0,[1],['Beasiswa Baznas'],3.45
43,13,1,1,0,0,0,0,[1],['Beasiswa Baznas'],3.69
48,17,0,2,0,0,0,0,[1],['Beasiswa Baznas'],3.09
31,2,0,0,0,0,0,1,[1],['Beasiswa Baznas'],3.32
41,34,0,0,0,0,0,1,[1],['Beasiswa Baznas'],3.57
53,3,0,0,0,0,0,1,[1],['Beasiswa Baznas'],3.55
26,14,3,1,0,0,0,1,[1],['Beasiswa Baznas'],3.84
39,4,3,2,0,0,0,1,[1],['Beasiswa Baznas'],3.06
48,18,0,2,0,0,0,0,[1],['Beasiswa Baznas'],3.34
36,30,0,1,0,0,0,0,[1],['Beasiswa Baznas'],3.26
29,42,1,2,0,0,0,1,[1],['Beasiswa Baznas'],3.8
40,3,2,0,0,0,0,0,[1],['Beasiswa Baznas'],3.12
30,17,0,2,0,0,0,0,[1],['Beasiswa Baznas'],3.93
37,14,0,0,0,0,0,0,[1],['Beasiswa Baznas'],3.4
39,39,3,0,0,0,0,1,[1],['Beasiswa Baznas'],3.95
52,6,3,2,0,0,0,0,[1],['Beasiswa Baznas'],3.85
30,32,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.61
44,30,2,1,0,0,0,1,[1],['Beasiswa Baznas'],3.1
30,19,2,0,0,0,0,1,[1],['Beasiswa Baznas'],3.67
35,15,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.78
48,10,2,1,0,0,0,1,[1],['Beasiswa Baznas'],3.88
25,19,0,0,0,0,0,0,[1],['Beasiswa Baznas'],3.24
24,39,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.95
20,31,1,0,0,0,0,0,[1],['Beasiswa Baznas'],3.01
33,36,3,1,0,0,0,1,[1],['Beasiswa Baznas'],3.18
38,12,3,1,0,0,0,1,[1],['Beasiswa Baznas'],3.32
49,26,3,2,0,0,0,1,[1],['Beasiswa Baznas'],3.17
41,16,2,2,0,0,0,0,[1],['Beasiswa Baznas'],3.88
34,38,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.99
36,33,3,2,0,0,0,1,[1],['Beasiswa Baznas'],3.32
44,30,3,1,0,0,0,1,[1],['Beasiswa Baznas'],3.3
33,32,2,2,0,0,0,1,[1],['Beasiswa Baznas'],3.11
44,22,1,2,0,0,0,0,[1],['Beasiswa Baznas'],3.74
49,24,1,1,0,0,0,0,[1],['Beasiswa Baznas'],3.07
38,12,2,0,0,0,0,1,[1],['Beasiswa Baznas'],3.47
22,14,0,0,0,0,0,1,[1],['Beasiswa Baznas'],3.0
47,20,3,2,0,0,0,0,[1],['Beasiswa Baznas'],3.23
23,11,2,2,0,0,0,0,[1],['Beasiswa Baznas'],3.86
36,35,2,1,0,0,0,0,[1],['Beasiswa Baznas'],3.82
43,34,3,2,0,0,0,1,[1],['Beasiswa Baznas'],3.58
23,31,2,0,0,0,0,0,[1],['Beasiswa Baznas'],3.71
39,31,0,1,0,0,0,1,[1],['Beasiswa Baznas'],3.31
25,36,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.07
23,38,0,1,0,0,0,0,[1],['Beasiswa Baznas'],3.76
45,25,1,1,0,0,0,1,[1],['Beasiswa Baznas'],3.46
29,21,0,2,0,0,0,0,[1],['Beasiswa Baznas'],3.71
22,36,1,0,0,0,0,0,[1],['Beasiswa Baznas'],3.37
25,15,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.59
55,18,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.22
46,5,0,2,0,0,0,0,[1],['Beasiswa Baznas'],3.4
29,21,3,0,0,0,0,0,[1],['Beasiswa Baznas'],3.25
55,38,2,2,0,0,0,0,[1],['Beasiswa Baznas'],3.05
30,34,2,0,0,0,0,1,[1],['Beasiswa Baznas'],3.92
47,41,0,2,0,0,0,0,[1],['Beasiswa Baznas'],3.84
53,23,3,2,0,0,0,0,[1],['Beasiswa Baznas'],3.5
42,12,1,2,0,0,0,0,[1],['Beasiswa Baznas'],3.93
33,35,0,1,0,0,0,0,[1],['Beasiswa Baznas'],3.35
36,38,0,1,0,0,0,1,[1],['Beasiswa Baznas'],3.23
22,40,1,0,0,0,0,1,[1],['Beasiswa Baznas'],3.51
36,16,2,2,0,0,0,0,[1],['Beasiswa Baznas'],3.23
54,3,2,2,0,0,0,0,[1],['Beasiswa Baznas'],3.86
32,32,2,2,0,0,0,1,[1],['Beasiswa Baznas'],3.92
38,32,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.54
39,14,1,1,0,0,0,0,[1],['Beasiswa Baznas'],3.78
36,30,2,0,0,0,0,1,[1],['Beasiswa Baznas'],3.18
24,11,1,1,0,0,0,1,[1],['Beasiswa Baznas'],3.06
34,42,0,0,0,0,0,1,[1],['Beasiswa Baznas'],3.96
49,13,0,2,0,0,0,0,[1],['Beasiswa Baznas'],3.75
45,40,0,0,0,0,0,0,[1],['Beasiswa Baznas'],3.01
37,27,3,0,0,0,0,0,[1],['Beasiswa Baznas'],3.83
53,11,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.89
55,7,2,0,0,0,0,0,[1],['Beasiswa Baznas'],3.26
20,32,0,1,0,0,0,1,[1],['Beasiswa Baznas'],3.04
53,37,3,0,0,0,0,0,[1],['Beasiswa Baznas'],3.83
40,27,2,0,0,0,0,1,[1],['Beasiswa Baznas'],3.24
35,41,1,2,0,0,0,1,[1],['Beasiswa Baznas'],3.85
27,25,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.79
21,22,0,1,0,0,0,0,[1],['Beasiswa Baznas'],3.11
50,38,3,2,0,0,0,0,[1],['Beasiswa Baznas'],3.19
32,43,1,2,0,0,0,1,[1],['Beasiswa Baznas'],3.03
24,15,0,1,0,0,0,0,[1],['Beasiswa Baznas'],3.89
43,4,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.61
27,37,1,0,0,0,0,0,[1],['Beasiswa Baznas'],3.39
34,42,2,0,0,0,0,1,[1],['Beasiswa Baznas'],3.72
25,34,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.57
50,19,3,2,0,0,0,1,[1],['Beasiswa Baznas'],3.23
23,14,1,0,0,0,0,1,[1],['Beasiswa Baznas'],3.2
27,35,3,0,0,0,0,1,[1],['Beasiswa Baznas'],3.16
28,42,1,0,0,0,0,1,[1],['Beasiswa Baznas'],3.29
37,38,3,0,0,0,0,0,[1],['Beasiswa Baznas'],3.76
33,10,1,0,0,0,0,1,[1],['Beasiswa Baznas'],3.75
33,28,3,2,0,0,0,0,[1],['Beasiswa Baznas'],3.05
50,34,1,1,0,0,0,1,[1],['Beasiswa Baznas'],3.26
29,40,0,0,0,0,0,0,[1],['Beasiswa Baznas'],3.26
20,34,2,0,0,0,0,1,[1],['Beasiswa Baznas'],3.88
39,20,0,1,0,0,0,1,[1],['Beasiswa Baznas'],3.0
33,9,0,1,0,0,0,0,[1],['Beasiswa Baznas'],3.65
20,17,1,1,0,0,0,0,[1],['Beasiswa Baznas'],3.37
42,39,2,1,0,0,0,0,[1],['Beasiswa Baznas'],3.8
31,43,0,0,0,0,0,0,[1],['Beasiswa Baznas'],3.57
34,18,3,0,0,0,0,1,[1],['Beasiswa Baznas'],3.4
26,25,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.06
20,18,2,1,0,0,0,0,[1],['Beasiswa Baznas'],3.04
55,42,0,1,0,0,0,0,[1],['Beasiswa Baznas'],3.31
38,41,0,1,0,0,0,0,[1],['Beasiswa Baznas'],3.52
50,42,1,0,0,0,0,0,[1],['Beasiswa Baznas'],3.62
41,21,3,2,0,0,0,1,[1],['Beasiswa Baznas'],3.45
27,3,1,2,0,0,0,1,[1],['Beasiswa Baznas'],3.1
39,14,2,0,0,0,0,0,[1],['Beasiswa Baznas'],3.48
29,26,2,2,0,0,0,1,[1],['Beasiswa Baznas'],3.99
37,33,2,1,0,0,0,0,[1],['Beasiswa Baznas'],3.3
53,32,2,0,0,0,0,1,[1],['Beasiswa Baznas'],3.84
53,27,1,1,0,0,0,0,[1],['Beasiswa Baznas'],3.02
55,9,2,0,0,0,0,0,[1],['Beasiswa Baznas'],3.95
43,7,0,2,0,0,0,0,[1],['Beasiswa Baznas'],3.28
30,22,0,1,0,0,0,1,[1],['Beasiswa Baznas'],3.58
40,5,2,0,0,0,0,0,[1],['Beasiswa Baznas'],3.7
39,23,1,1,0,0,0,1,[1],['Beasiswa Baznas'],3.1
36,11,1,1,0,0,0,0,[1],['Beasiswa Baznas'],3.31
29,16,0,0,0,0,0,1,[1],['Beasiswa Baznas'],3.2
54,36,1,2,0,0,0,0,[1],['Beasiswa Baznas'],3.52
22,34,2,2,0,0,0,0,[1],['Beasiswa Baznas'],3.42
34,30,2,1,0,0,0,0,[1],['Beasiswa Baznas'],3.67
40,32,1,2,0,0,0,1,[1],['Beasiswa Baznas'],3.96
23,19,1,2,0,0,0,0,[1],['Beasiswa Baznas'],3.31
33,16,2,1,0,0,0,0,[1],['Beasiswa Baznas'],3.86
29,22,2,2,0,0,0,1,[1],['Beasiswa Baznas'],3.56
28,43,1,0,0,0,0,1,[1],['Beasiswa Baznas'],3.34
54,41,3,0,0,0,0,1,[1],['Beasiswa Baznas'],3.69
55,10,0,0,0,0,0,1,[1],['Beasiswa Baznas'],3.72
22,22,1,0,0,0,0,1,[1],['Beasiswa Baznas'],3.59
40,24,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.78
46,10,0,1,0,0,0,0,[1],['Beasiswa Baznas'],3.4
40,19,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.1
53,8,2,1,0,0,0,1,[1],['Beasiswa Baznas'],3.31
49,23,2,1,0,0,0,0,[1],['Beasiswa Baznas'],3.48
23,10,3,0,0,0,0,0,[1],['Beasiswa Baznas'],3.86
27,24,2,0,0,0,0,0,[1],['Beasiswa Baznas'],3.8
49,22,3,2,0,0,0,1,[1],['Beasiswa Baznas'],3.78
50,36,1,2,0,0,0,0,[1],['Beasiswa Baznas'],3.55
52,24,1,1,0,0,0,0,[1],['Beasiswa Baznas'],3.72
37,35,2,1,0,0,0,1,[1],['Beasiswa Baznas'],3.29
41,28,1,2,0,0,0,0,[1],['Beasiswa Baznas'],3.77
40,22,1,0,0,0,0,0,[1],['Beasiswa Baznas'],3.44
41,2,2,2,0,0,0,0,[1],['Beasiswa Baznas'],3.49
29,39,0,0,0,0,0,0,[1],['Beasiswa Baznas'],3.58
49,18,2,1,0,0,0,1,[1],['Beasiswa Baznas'],3.24
32,19,1,0,0,0,0,1,[1],['Beasiswa Baznas'],3.92
23,16,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.05
46,9,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.42
45,42,1,1,0,0,0,1,[1],['Beasiswa Baznas'],3.57
30,18,2,0,0,0,0,1,[1],['Beasiswa Baznas'],3.9
29,12,2,1,0,0,0,1,[1],['Beasiswa Baznas'],3.08
53,23,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.6
32,33,0,0,0,0,0,1,[1],['Beasiswa Baznas'],3.06
26,38,1,1,0,0,0,1,[1],['Beasiswa Baznas'],3.53
34,13,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.73
25,20,3,2,0,0,0,1,[1],['Beasiswa Baznas'],3.22
35,28,3,2,0,0,0,1,[1],['Beasiswa Baznas'],3.92
29,32,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.96
37,25,0,0,0,0,0,0,[1],['Beasiswa Baznas'],3.76
29,40,0,0,0,0,0,1,[1],['Beasiswa Baznas'],3.77
45,31,3,0,0,0,0,1,[1],['Beasiswa Baznas'],3.15
35,18,2,1,0,0,0,1,[1],['Beasiswa Baznas'],3.17
29,24,2,1,0,0,0,1,[1],['Beasiswa Baznas'],3.97
27,30,1,0,0,0,0,0,[1],['Beasiswa Baznas'],3.36
40,42,2,0,0,0,0,0,[1],['Beasiswa Baznas'],3.94
43,15,0,2,0,0,0,0,[1],['Beasiswa Baznas'],3.05
47,25,2,2,0,0,0,0,[1],['Beasiswa Baznas'],3.21
41,8,0,0,0,0,0,1,[1],['Beasiswa Baznas'],3.61
26,2,3,2,0,0,0,1,[1],['Beasiswa Baznas'],3.53
53,20,2,2,0,0,0,1,[1],['Beasiswa Baznas'],3.5
34,31,0,0,0,0,0,1,[1],['Beasiswa Baznas'],3.44
24,21,0,1,0,0,0,0,[1],['Beasiswa Baznas'],4.0
47,22,1,1,0,0,0,0,[1],['Beasiswa Baznas'],3.14
43,25,0,0,0,0,0,1,[1],['Beasiswa Baznas'],3.14
29,20,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.61
35,15,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.35
38,34,3,2,0,0,0,1,[1],['Beasiswa Baznas'],3.74
42,26,2,0,0,0,0,0,[1],['Beasiswa Baznas'],3.4
38,25,1,2,0,0,0,0,[1],['Beasiswa Baznas'],3.89
32,39,0,2,0,0,0,1,[1],['Beasiswa Baznas'],3.8
47,19,2,1,0,0,0,1,[1],['Beasiswa Baznas'],3.18
24,37,0,0,0,0,0,1,[1],['Beasiswa Baznas'],3.62
22,27,2,0,0,0,0,0,[1],['Beasiswa Baznas'],3.07
45,29,0,1,0,0,0,1,[1],['Beasiswa Baznas'],3.67
24,10,0,1,0,0,0,0,[1],['Beasiswa Baznas'],3.61
45,28,0,2,0,0,0,0,[1],['Beasiswa Baznas'],3.3
44,13,1,0,0,0,0,0,[1],['Beasiswa Baznas'],3.48
55,15,1,0,0,0,0,1,[1],['Beasiswa Baznas'],3.25
55,11,3,2,0,0,0,1,[1],['Beasiswa Baznas'],3.71
44,13,3,2,0,0,0,1,[1],['Beasiswa Baznas'],3.36
40,36,2,0,0,0,0,0,[1],['Beasiswa Baznas'],3.93
53,42,0,1,0,0,0,1,[1],['Beasiswa Baznas'],3.47
27,35,3,1,0,0,0,1,[1],['Beasiswa Baznas'],3.31
26,17,0,1,0,0,0,0,[1],['Beasiswa Baznas'],3.5
34,7,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.71
23,37,3,0,0,0,0,1,[1],['Beasiswa Baznas'],3.27
50,39,3,0,0,0,0,1,[1],['Beasiswa Baznas'],3.85
37,18,1,0,0,0,0,1,[1],['Beasiswa Baznas'],3.2
32,32,2,0,0,0,0,0,[1],['Beasiswa Baznas'],3.56
42,12,3,1,0,0,0,0,[1],['Beasiswa Baznas'],3.59
36,25,2,0,0,0,0,1,[1],['Beasiswa Baznas'],3.49
39,38,0,0,0,0,0,0,[1],['Beasiswa Baznas'],3.69
